,ID,ind_ppp_UNadj,aged,young,sexratio,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,x,y,yr
18863,18863,5,0,0,924,NA,0,1,1,0,14,94.72476855,26.79224793,2022
18864,18864,4,0,0,924,NA,0,1,1,0,12,94.70101816,26.94833821,2022
18865,18865,4,0,0,924,NA,0,1,1,0,11,94.75553076,26.89183618,2022
18866,18866,4,0,0,924,NA,0,1,1,0,12,94.75029145,26.89444802,2022
18867,18867,6,0,1,924,NA,1,2,1,0,18,94.84356223,26.91951198,2022
18868,18868,5,0,0,924,NA,0,1,1,0,14,94.82145504,26.92106846,2022
18869,18869,26,2,2,924,3,3,9,5,2,83,94.80235421,26.8621605,2022
18870,18870,5,0,0,924,1,1,2,1,0,16,94.78513088,26.90295768,2022
18871,18871,5,0,0,924,1,1,2,1,0,16,94.73150048,26.88573915,2022
18872,18872,5,0,0,924,NA,1,2,1,0,17,94.72560633,26.80027339,2022
18873,18873,6,0,1,924,NA,1,2,1,0,18,94.842917,26.91939605,2022
18874,18874,27,2,3,924,3,3,9,5,2,87,94.80473591,26.86441754,2022
18875,18875,3,0,0,924,NA,0,1,1,0,10,94.7971156,26.82915577,2022
18876,18876,3,0,0,924,NA,0,1,1,0,10,94.65637225,26.86055598,2022
18877,18877,8,0,1,924,1,1,3,1,1,25,94.67013618,26.7983648,2022
